translated_question,subject,translated_choices,answer
Qalib gələn iştirakçının təklif etdiyi qiymətin çox aşağı olması səbəbindən zərərli bir müqavilə əldə etməsi və onu icra etməyə borclu olması aşağıdakı kimi adlandırılır:,marketing,"""Qalibin lənəti."" ""Qalibin qiyməti."" ""Qalibin mükafatı.""
 'Zərərli qiymət siyasəti.'",0
Bu bizə təqdim olunan bir təklifin miqdarının onun təklif edildiyi qiymətlə necə əlaqəli olduğunu müəyyən etməyə imkan verir:,marketing,['Qiymət paketlənməsi.' 'Qiymət elastikliyi.' 'Qiymət qeyri-elastikliyi.' 'Qiymət inflyasiyası.'],1
"________________ baş verir ki, burada alıcı və satıcı arasında əvvəlki mübadilə tarixi yoxdur və gələcək mübadilələr gözlənilmir.",marketing,['Əlaqələr marketinqi.' 'Xidmət qarışığı.' 'Bazar mübadilələri.' 'Xidmətin uğursuzluğu.'],2
"Elektron poçt vasitəsilə marketinq üsulu, burada mesajın alıcısı onu almağa razılıq vermişdir, belə adlanır:",marketing,['Axtarış marketinqi.' 'İnternet reklamı.' 'İcazə əsaslı e-poçt marketinqi.' 'Sosial veb marketinq.'],2
Kollektiv şəkildə təkliflərin son istifadəçilərə tez və səmərəli şəkildə çatdırılmasını təmin etmək üçün birləşən təşkilatlar marketinq kanalı adlanır və bəzən belə adlandırılır:,marketing,['Nəqliyyat vasitəsi.' 'Kuryer.' 'Nəqliyyat.' 'Paylama kanalı.'],3
Aşağıdakılardan hansıları təşkilatın xüsusiyyətlərinin seqmentasiya meyarları üzrə üç geniş qrupunu təşkil edir?,marketing,"['Təşkilatın ölçüsü, sənaye növü və cinsiyyət.'
 'Psixoqrafika, alıcı və davranış meyarları.'
 'Təşkilatın ölçüsü, sənaye növü və coğrafi yer.'
 'Yuxarıdakılardan heç biri.']",2
Aşağıdakılardan hansı daha sonra alış üçün paketa daxil edilən kuponun adıdır?,marketing,['müstəqil kupon' 'ani endirim kuponu' 'qayıdış kuponu' 'geri qaytarma kuponu'],2
"Reklam müdafiə vasitəsi kimi istifadə olunur, müştəriləri saxlamaq və brenddən istifadəni artırmaq məqsədilə həyata keçirilir. Reklam mövcud münasibətləri möhkəmləndirmək üçün istifadə olunur, mütləq olaraq onları kəskin şəkildə dəyişdirmək üçün deyil. Bu fikir aşağıdakılara əsaslanır:",marketing,['Güclü nəzəriyyə.' 'Zəif nəzəriyyə.' 'ATR çərçivəsi.' 'DRIP modeli.'],1
"_____________ şirkətin resurslarından optimal istifadəni təmin etmək, uyğunluğunu, risk səviyyəsini və gözlənilən maliyyə gəlirini qiymətləndirmək məqsədilə məhsulların, xidmətlərin, investisiyaların və digər aktivlərin qarışığının qiymətləndirilməsidir.",marketing,['SWOT təhlili.' 'Siyasi təhlil.' 'Portfel təhlili.' 'Rəqabət təhlili.'],2
"Bu mallar tez-tez alınan, bir dəfə istifadə olunan və satınalma riski aşağı olan ucuz məhsullardır:",marketing,['Davamsız.' 'Davamlı.' 'Ümumi.' 'Lüks.'],0
Aşağıdakı proseslərdən hansı istehlakçıların məhsullar və markalar haqqında necə düşündüklərini və öyrəndiklərini izah etməkdə əsas rol oynamır?,marketing,['Koqnitivlik.' 'Qavrayış.' 'Öyrənmə.' 'Şəxsiyyət.'],3
"________________, təşkilatın müxtəlif maraqlı tərəflər qrupu tərəfindən necə qəbul edildiyini təsir etmək üçün istifadə olunur.",marketing,['Birbaşa marketinq.' 'İctimaiyyətlə əlaqələr.' 'Satış təşviqi.' 'Reklam'],1
"Marketinq, bir tranzaksiya əsaslı səydən dialoqa (yəni, iki tərəfli dialoq) keçən və marketoloqlar ilə müştərilər (məsələn, maraqlı tərəflər) arasında adətən real vaxtda qarşılıqlı əlaqənin həyata keçirildiyi bir mexanizm və ya vəziyyət kimi təsvir edilə bilən bir proses olaraq bilinir:",marketing,['Rəqəmsal marketinq.' 'İnteraktiv marketinq.' 'Birbaşa marketinq.' 'Elektron marketinq.'],1
Bir firmanın məhsul və ya xidmətlərinin ekoloji məsuliyyəti təşviq etmək məqsədilə fərqləndirilməsi nəzərdə tutulur:,marketing,['Sosial brendinq.' 'Eko-brendinq.' 'Mən də brendinq.' 'Brend şəxsiyyəti.'],1
Aşağıdakılardan hansı bazarın bir innovasiyanı qəbul etmə sürətidir?,marketing,"['Diffuziya prosesi.' 'Diferensiasiya prosesi.' 'Qəbul prosesi.'
 'Qəbul həyat dövrü.']",0
"Mikromarketinq potensial alıcılara yönəldilir ki,",marketing,"['artıq sərəncamda olan gəlirləri var' '8-14 yaş arasında olanlar'
 'oxşar münasibətlər və davranışlarla bölüşürlər'
 'fərdi marketinqdən imtina ediblər']",2
"Bu, yayılma prosesində olan və yeniliklərin ön cərgəsində olmağı sevən, yeni məhsulları erkən mərhələdə əldə edən insanların bir qrupudur:",marketing,['Gecikmiş çoxluq.' 'Erkən mənimsəyən.' 'Erkən çoxluq.' 'Gecikənlər.'],1
Məhsulun birbaşa istehsalçıdan son istehlakçıya getdiyi kanal strukturu hansıdır?,marketing,['Birbaşa.' 'Dolayı.' 'Hibrid.' 'Yuxarıdakılardan heç biri.'],0
"Dəyərin birgə yaradılması, müştərilərin aktiv dialoqda iştirak edib fərdiləşdirilmiş təcrübələri birgə qurduğu proses olaraq adlandırılır:",marketing,['İnteraktiv marketinq.' 'Birgəyaratma təcrübəsi.' 'Münasibət marketinqi.' 'Təşkilat marketinqi.'],1
"Bu marketinq kommunikasiya vasitəsi ""müəyyən bir mənbədən gələn, birbaşa və ya dolayı yolla alıcını indiki və ya gələcəkdə müəyyən bir hərəkətə təşviq etmək məqsədi daşıyan ödənişli, vasitəçilik edilmiş kommunikasiya forması"" kimi xarakterizə olunur. Bu, belə adlandırılır:",marketing,['Reklam.' 'Şəxsi satış.' 'İctimaiyyətlə əlaqələr.' 'İctimaiyyətlə əlaqələr.'],0
"_____________ bizə ehtiyac və tələblərimizi qarşılamaq üçün, ya birbaşa, ya da dolayı yolla, biznes bazarları vasitəsilə geniş çeşiddə təkliflər təqdim edir.",marketing,['Yığcam marketinq sistemi.' 'Planlaşdırma mükəmməlliyi.' 'Keyfiyyət fərqi.' 'Dəyər xətti.'],0
"____________ məhsulun xarici xüsusiyyətlərini (rəngi, qablaşdırması, məhsulun konsistensiyası, assosiasiyalar) və bunların müştərilərin psixoloji və ya sosial ehtiyaclarını nə dərəcədə təmin etdiyini təsvir edir.",marketing,['Brendin yenidən yerləşdirilməsi.' 'Brendin genişləndirilməsi.' 'Brend kapitalı.' 'Brend imici.'],3
"AIDA şüur, ________, istək və _________ deməkdir.",marketing,"['Maraq; fəaliyyət.' 'Şiddət; cazibə.' 'İştirak; fəaliyyət.'
 'İştirak; cazibə.']",0
"Burada vasitəçilərə müəyyən edilmiş ""ərazi"" daxilində mal və ya xidməti bazara çıxarmaq üçün eksklüziv hüquqlar verilir və beləliklə, çox məhdud sayda vasitəçi istifadə olunur:",marketing,['Eksklüziv.' 'İntensiv.' 'Selektiv.' 'Birbaşa.'],0
"Agentlik müştəri ilə brifi müzakirə etdikdən sonra, problemi araşdırmaq niyyətində olduqları yolları ətraflı şəkildə təqdim edir. Bu sənəd ____________ adlanır:",marketing,['Tədqiqat xülasəsi.' 'Tədqiqat təklifi.' 'Tədqiqat sualı.' 'Tədqiqat proqramı.'],1
Təşkilatın ölçüsü və yeri kimi təşkilati xüsusiyyətlər bəzən ___________ olaraq adlandırılır.,marketing,['DMU.' 'Firmoqrafiya.' 'ACORN' 'Məhsul istifadəsi.'],1
Marketinq kommunikasiyalarının rolu auditoriyanı cəlb etməkdir və bununla yerinə yetirilə biləcək dörd əsas vəzifə var. Aşağıdakılardan hansı bu dörd əsas vəzifədən biri deyil?,marketing,['Fərqləndirin.' 'İştirak edin.' 'Möhkəmləndirin.' 'Məlumatlandırın.'],1
Satıcının tanımadığı potensial müştərilərə çoxsaylı istənilməyən satış zəngləri etməsi prosesi adlanır,marketing,['çoxsəviyyəli marketinq' 'soyuq satış' 'təsir mərkəzi metodu' 'satış üzrə mütəxəssis metodu'],1
Fərdlərin yeni təklifləri qəbul etməsi və istifadə etməsi prosesi belə adlandırılır:,marketing,['Qərar.' 'Qəbul.' 'Əldə etmə.' 'Fərqindəlik.'],1
"Rəqiblərin qiymət siyasəti demək olar ki, yalnız müştərilərdən çox rəqiblərə yönəldikdə aşağıdakılardan hansı baş verir?",marketing,['Qiymət fərqləndirilməsi.' 'Qiymət müəyyənləşdirilməsi.' 'Qiymət müharibələri.' 'Qiymət zəmanətləri.'],2
İstehlakçı bazarlarını bölmək üçün geniş istifadə olunan əsas:,marketing,['Təşkilatın ölçüsü.' 'Demoqrafik göstəricilər.' 'Məhsul növü.' 'Qiymət.'],1
"B2B kontekstlərində qiymətlər, şirkət və onun müştəriləri və ya sifarişçiləri arasında bağlanan xüsusi razılaşmalara əsasən müəyyən edilir (məsələn, memarlıq və ya struktur mühəndisliyi kimi peşəkar xidmətlər). Bu qiymətqoyma yanaşması belə adlanır:",marketing,['Razılaşdırılmış qiymət' 'Daxili qiymət.' 'Siyahı qiyməti.' 'Maya dəyəri ilə qiymət.'],0
Bir vaxtlar çoxmarkalı siyasət adlanan bu brendinq strategiyası təşkilat tərəfindən təklif olunan hər bir məhsulun digər məhsullardan müstəqil olaraq markalanmasını tələb edir. Bu belə adlanır:,marketing,['Fərdi markalaşma.' 'Korporativ markalar.' 'Ailə markalaşması.' 'Birgə markalaşma.'],0
"Bu, müsbət hisslər yaratmaq və davranışı stimullaşdırmaq məqsədilə şəxsiyyətlərarası ünsiyyətdən istifadədir.",marketing,['Birbaşa marketinq.' 'Şəxsi satış.' 'Satış təşviqatı.' 'Reklam.'],1
"Müştərilərlə deyil, həm də təşkilatların təchizatçılar, tənzimləyicilər, hökumət, rəqiblər, işçilər və digər tərəflərlə qurduğu geniş spektrli münasibətləri əhatə edən yanaşma adlanır:",marketing,['Bazar mübadilələri.' 'Xidmətin uğursuzluğu.' 'Münasibət marketinqi.' 'Paylaşılan məsuliyyət.'],2
"Marketinq terminlərində ___________, ödədiyimizə qarşılıq olaraq əldə etdiyimiz şeyə istinad edir:",marketing,['Gəlir.' 'Məxaric.' 'Dəyər.' 'Məhsul.'],2
"_______________, iştirak edən tərəflərə xas olan biliklərin inkişafı ilə məşğul olur və 'birgə öyrənmə' adlanır.",marketing,['Dialoq.' 'Şəxsi təsir.' 'Rəy.' 'Mesaj.'],0
Davranışda dəyişikliklər yaradan proses adlanır:,marketing,['Selektiv adaptasiya.' 'Öyrənmə.' 'Müdaxilə manipulyasiyası.' 'Münasibət tənzimlənməsi.'],1
Aşağıdakılardan hansı yeni və unikal məhsulu bazara çıxararkən ən uyğun qiymət strategiyası hesab olunur?,marketing,"['Qiymət soyulması' 'Promosyon qiymətləri' 'Psixoloji qiymətqoyma'
 'Penetrasiya qiymətqoyması']",0
Hansı növ mağaza istehlakçıların son anda alış-veriş tələblərini ödəyən müxtəlif ərzaq və məişət əşyalarını təklif edir?,marketing,"['Supermarketlər.' 'Rahatlıq mağazaları.' 'Kateqoriya-öldürücü mağazalar.'
 'Məhdud xətt pərakəndəçiləri.']",1
Satış sonrası istehlakçı təklifinin əldə edilməsi prosesinin yenidən qiymətləndirilməsi aşağıdakı dərəcənin ölçülməsinə cəhd göstərir:,marketing,"['Satıcı tərəfindən əldə edilən satış uğuru.'
 'Alıcının alışdan məmnunluğu.'
 'Şirkətin sonrakı fəaliyyətlərinin effektivliyi.'
 'Reklamın alışa təsiri.']",1
"Bir çox brendlər qəsdən insan xüsusiyyətləri ilə zənginləşdirilir, elə bir həddə ki, onlar xüsusi xarakterlərə malik olaraq qəbul edilir. Bu adlandırılır:",marketing,['Brend piramidası.' 'Brend dəyəri.' 'Brend adları.' 'Brend şəxsiyyətləri.'],3
Marketinq tədqiqatı:,marketing,"['Müəyyən marketinq strategiyası qərarlarını necə qəbul edəcəyini anlamaq üçün görülən işlər.'
 'Fərdlər və ya təşkilatların nümunə və ya siyahıyaalınma məlumatlarının toplanması və təhlili.'
 'İstehlakçı və sənaye sorğuları kimi bütün növ bazar, rəy və sosial araşdırmaları əhatə edir.'
 'Müvafiq sənayenin struktur xarakteristikalarını müəyyən etmək üçün görülən işlər.']",0
"____________, digər media vasitələri ilə müqayisədə mesajları hədəf auditoriyalara çatdırmaqda çox təsirlidir, çünki izahatı elə bir şəkildə təqdim etməyə imkan verir ki, bunu əksər digər media edə bilmir.",marketing,'Rəqəmsal.' 'Çap.' 'Yayım.' 'Açıq havada.',1
"Bu, satış qüvvəsini və ticarət işçilərini dəstəkləməklə bağlı marketinq kommunikasiyaları fəaliyyətidir:",marketing,['Mağaza marketinqi.' 'Sahə marketinqi.' 'Satış təşviqi.' 'Şəxsi satış.'],1
"Xidmətlər istehsal edildiyi anda istehlak olunur. Başqa sözlə, xidmətin çatdırılması xidmət göstərilməsindən və ya xidmətin istehlakından ayrıla və ya bölünə bilməz. Bu, xidmətlərin hansı xüsusiyyəti ilə əlaqələndirilir?",marketing,['Maddi olmaması.' 'Dəyişkənlik.' 'Ayrılmazlıq.' 'Fani olma.'],2
Bunlar məhsulun istehsal olunan vahidlərinin və ya satılan xidmətlərin sayına görə dəyişməyən xərclərdir:,marketing,['Sabit xərclər.' 'Köçürülən aktivlər.' 'İşlək kapital.' 'Sabit kapital.'],0
SWOT bir qısaltmadır:,marketing,"['Güclü tərəflər, zəif cəhətlər, imkanlar, təhdidlər.'
 'Strategiya, iş, açıqlıq, sərtlik.'
 'Strategiya, zəiflik, fikirlər, taktika.'
 'Strategiya, işləmək, fikir, taktiki.']",0
"Münasibətlərin formalaşmasının üç mərhələsi odur ki, biz nəsə öyrənirik, nəsə hiss edirik və münasibətlərimizə uyğun hərəkət edirik. Bizim nəsə öyrəndiyimiz mərhələ belə adlanır:",marketing,['Davranış.' 'Konativ.' 'Kognitiv.' 'Emosional.'],2
"Marketinq tədqiqatları müəyyən ölkə regionlarında idarə olunan eksperimentlər aparmaq üçün __________ istifadə edir, burada xüsusi reklamlar göstərilə bilər, yeni xüsusiyyətin (təklif, kampaniya, distribusiya və s.) tam milli və ya hətta beynəlxalq miqyasda təqdim olunmasından əvvəl.",marketing,['Test bazarları.' 'Məlumatların toplanması.' 'Analitik məlumat.' 'Ssenari lövhələri.'],0
"Müştəri ilə xidmət təminatçısı arasında az və ya heç bir şəxsi təmas olmadıqda, bu aşağıdakı kimi təsnif edilir:",marketing,['Aşağı təmaslı xidmət.' 'Orta təmaslı xidmət.' 'Yüksək təmaslı xidmət.' 'İntensiv təmaslı xidmət.'],0
Aşağıdakılardan hansı davranış dəyişəninin nümunəsi deyil?,marketing,['Məhsul istifadəsi.' 'Media istifadəsi.' 'Alış imkanı.' 'Şəxsiyyət.'],3
"__________ təşkilata təsir göstərə biləcək qüvvələr, hadisələr və əlaqələr haqqında məlumatların toplanması və təhlilidir.",marketing,['Ətraf mühitin skan edilməsi' 'Maraqlı tərəflərin təhlili' 'Bazarın nümunə götürülməsi' 'İmkanların təhlili'],0
"ACORN, seqmentasiya təhlili texnikası, aşağıdakılardan hansını ifadə edir?",marketing,"['Müvafiq rəsmi yaşayış qeydiyyatı.'
 'Məlumat verilmiş vətəndaşların təsnifatı.'
 'Yaşayış məhəllələrinin təsnifatı.'
 'Ölkə miqyasında rəsmi resursların naviqasiyası.']",2
Fərqli qrupların təsadüfi seçilmiş nümunələrinin ümumi nümunədə təmsil olunduğu ehtimal nümunəsinə deyilir:,marketing,['Təbəqələşmiş nümunə.' 'Rahat nümunə.' 'Kvota nümunəsi.' 'Klaster nümunəsi.'],0
"Aşağıdakı terminlərdən hansı bir şirkətin, məhsulun və ya xidmətin bir media vasitəsilə ödənişli şəkildə qeyd olunmasına aiddir?",marketing,"['Reklam', 'İctimai əlaqələr', 'Üçüncü tərəfin təsdiqi', 'Şişirtmə']",0
"Marketinq dövrü, 1950-1980-ci illər - daha inkişaf etmiş diqqət ___________ üzərində cəmlənməsi ilə xarakterizə olunur.",marketing,"['Cəmiyyət və etika.' 'Şəxsi satış.' 'Fiziki istehsal.' ""Müştərinin ehtiyacları.""]",3
Aşağıdakı ifadələrdən hansı doğrudur?,marketing,"['Marketinq yalnız bir şirkətin satış funksiyasına istinad etmək üçün istifadə olunan termindir.'
 'Marketinq menecerləri adətən istehsal və ya paylama qərarlarına qarışmırlar.'
 'Marketinq yalnız təşkilatın ehtiyaclarını nəzərə alan bir fəaliyyət növüdür; cəmiyyətin ümumi ehtiyaclarını deyil.'
 'Marketinq müştərilər, müştərilər, tərəfdaşlar və ümumilikdə cəmiyyət üçün dəyəri olan təklifləri yaratmaq, kommunikasiyaya başlamaq, çatdırmaq və mübadilə etmək üçün həyata keçirilən fəaliyyət, institutlar toplusu və proseslərdir.']",3
"Aşağıdakılardan hansı yeni məhsulun inkişafı prosesində bir mərhələdir, yeni məhsulun milli bazara çıxarılmadan əvvəl müştərilərin reaksiyalarını qiymətləndirmək məqsədilə müştəri nümunəsi ilə sınaqdan keçirildiyi və ya müəyyən bir coğrafi ərazidə satışa çıxarıldığı?",marketing,"['Test marketinq.' 'Fokuslanmış marketinq.' 'Canlı marketinq.'
 'Ümumi marketinq.']",0
Marketinq termini aiddir:,marketing,"['yeni məhsul konsepsiyaları və təkmilləşdirmələr.'
 'reklam və təşviqat fəaliyyətləri.'
 'müştəri dəyəri və məmnuniyyətini vurğulayan bir fəlsəfə.'
 'satış kampaniyalarının planlaşdırılması.']",2
____________ təşkilatların mobil cihazlar və ya şəbəkələr vasitəsilə auditoriyaları ilə interaktiv şəkildə ünsiyyət qurmasına və qarşılıqlı əlaqə yaratmasına imkan verən təcrübələr toplusudur.,marketing,['Mobil marketinq' 'Sosial veb marketinq.' 'İnternet marketinq' 'Sosial media marketinq'],0
"Britaniya Hökumətinə görə, aşağıdakılardan hansı marketinq funksiyası deyil?",marketing,"['Marketinq kəşfiyyatını təşviq et.' 'Satış taktikalarını inkişaf etdir.'
 'Müştəri təklifini inkişaf etdir.'
 'Digər biznes funksiyaları və üçüncü tərəflərlə işləyin.']",1
Ödənilmiş və ya mülkiyyətində olan media vasitəsilə çatdırılan və bir şirkət və ya brendi əks etdirən əyləncə materialının istifadəsi belə adlanır:,marketing,['Sponsorluq.' 'Sərgilər.' 'Brendli məzmun.' 'Reklam.'],2
"İkinci əl məlumatlar, başqasının məqsədləri üçün toplanmış olan məlumatlar kimi tanınır:____________",marketing,['Birincili tədqiqat.' 'Təsviri tədqiqat.' 'Səbəb-nəticə tədqiqatı.' 'İkincili tədqiqat.'],3
Aşağıdakılardan hansı istənməyən elektron mesajlara aiddir?,marketing,['Opt-in e-poçt.' 'Razılıq marketinqi.' 'Spam.' 'Opt-out e-poçt.'],2
İkinci mərhələdə bazar seqmentasiyası prosesində müəyyən edilmiş fərqli bazar seqmentlərinin cəlbediciliyini qiymətləndirməyin məqsədi aşağıdakılardır:,marketing,"['Hər seqmentin spesifik üzvlərini müəyyən edin ki, onlarla birbaşa əlaqə saxlaya biləsiniz.'
 'Hər seqmentə ayrılmalı olan resursların səviyyəsini təyin edin.'
 'Hər seqmentin daxilindəki bazar potensialını qiymətləndirin.'
 'Şirkətin imicini gücləndirmək üçün marketinq strategiyası və taktikasını hazırlayın.']",2
"Pərakəndə mağaza istehlak məhsulunun reklam xərclərini məhsulun milli distribyutoru ilə bölüşməyə razılaşdıqda, aşağıdakı reklam növlərindən hansı istifadə olunur?",marketing,['Ticarət reklamı' 'Sənaye reklamı' 'Milli reklam' 'Kooperativ reklam'],3
"Bu qiymətqoyma yanaşması, şirkətin müştərilərin ödəməyə hazır olduğu məbləğə uyğun olaraq qiymətləri müəyyən etdiyi zaman istifadə olunur:",marketing,['Məhsulun maya dəyərinə əsaslanan yanaşma.' 'Dəyərə əsaslanan yanaşma.' 'Rəqabətə əsaslanan yanaşma.' 'Tələbat yönümlü yanaşma.'],3
"Bu mallar nadir hallarda alınır, təkrar-təkrar istifadə olunur və istehlakçı üçün kifayət qədər yüksək risk daşıyır:",marketing,['İmpuls malları.' 'Lüks mallar.' 'Qeyri-davamlı mallar.' 'Davamlı mallar.'],3
"_____________ 'indiyədək mübahisəsiz qəbul edilən marketinq sahələrinin problematikləşdirilməsinə, beləliklə də, bu sahələrdəki institusional və nəzəri çatışmazlıqları üzə çıxarmağa kömək edir' (Saren, 2011:95).",marketing,['İstehsal marketinqi' 'Davamlı marketinq' 'Münasibət marketinqi' 'Kritik marketinq analizi'],3
"Xidmətlərin mühüm xüsusiyyətlərindən biri odur ki, onlar insanlar tərəfindən istehsal olunur və eyni zamanda, vahid hadisə kimi istehlak olunur. Bu unikal prosesin nəticələrindən biri də odur ki, xidmətlərin çatdırılmasını plan modeli əsasında standartlaşdırmaq son dərəcə çətindir. Bu, xidmətin hansı xüsusiyyəti kimi tanınır?",marketing,['Qeyri-maddi.' 'Ayrılmazlıq.' 'Dəyişkənlik.' 'Keçicilik.'],2
"Hansı tip pərakəndə satıcı nisbətən aşağı qiymətləri əsas satış nöqtəsi kimi təqdim edir və bununla yanaşı, iş görmə xərclərinin azaldılmasını nəzərdə tutur?",marketing,"[""Endirimli mağazalar."" ""Rahatlıq mağazaları."" ""Kateqoriya öldürücü mağazalar."" ""Məhdud çeşidli mağazalar.""]",0
Marketinq fəlsəfəsi 'marketinqdə sosial və etik məsələlərə daha güclü diqqət' ifadəsi ilə xülasə olunan _________ dövrünə xasdır.,marketing,['İstehsal.' 'Satış.' 'Marketinq.' 'cəmiyyətə yönəlmiş marketinq.'],3
"Sosial medianın inkişafı fərdlərə təşkilatlarla, icmalarla, dostlarla və ailə ilə ünsiyyət qurmaq imkanı vermişdir. Mesajın məzmunu brendlər, təcrübələr və ya hadisələr haqqında ola bilər və fərdlər tərəfindən hazırlanır və paylaşılır. Bu, belə adlanır:",marketing,['Yayım.' 'İstifadəçi tərəfindən yaradılmış məzmun.' 'Viral marketinq.' 'Telemarketinq.'],1
"Svan və Vesterlund (2009) satınalma davranışına yanaşmalardakı fərqliliyi vurğulamaq üçün təşkilatlar tərəfindən istifadə edilən altı əsas satınalma strategiyasını müəyyən edirlər. __________ strateji, əsas satınalma məqsədinin təklif üçün ən aşağı qiyməti axtarmaq olduğu alıcının səmərəlilik yönümünü nəzərdə tutur. Bunu əldə etmək üçün alıcı bir neçə potensial təchizatçı arasında rəqabəti aktiv şəkildə təşviq edir.",marketing,"[""'Alverçi' alış-verişi."" "" 'Adaptator' alış-verişi."" ""Qiymət minimallaşdırıcı' alış-verişi."" "" 'Proyektor' alış-verişi.""]",2
Beynəlxalq bazar araşdırmaları apararkən üç növ ekvivalentlik mövcuddur. Aşağıdakılardan hansı bu ekvivalentliklərdən biri deyildir?,marketing,[‘Konseptual ekvivalentlik.’ ‘Bazar ekvivalentliyi.’ ‘Funksional ekvivalentlik.’ ‘Tərcümə ekvivalentliyi.’],1
Aşağıdakılardan hansı sahibinə qanunla bir markadan istifadə etmək üçün müstəsna hüquqlar verir?,marketing,['Markaya sədaqət' 'Brend nişanı' 'Ticarət adı' 'Ticarət nişanı'],3
Aşağıdakılardan hansı təşkilati xüsusiyyətlərin seqmentləşdirilməsi üçün faydalı baza deyil?,marketing,['Dövriyyə üzrə.' 'Coğrafi yerə görə.' 'Təşkilatın ölçüsünə görə.' 'Sənaye növünə görə.'],0
"________ internet texnologiyalarından (məsələn, veb, elektron poçt, intranet, ekstranet və s.) istifadə etməklə həyata keçirilən və ya asanlaşdırılan marketinq prosesidir.",marketing,['İnternet marketinqi.' 'Axtarış marketinqi.' 'E-marketinq.' 'Mobil marketinq.'],0
Özlərini məhsul keyfiyyəti sahəsində bazar lideri kimi görən firmalar tez-tez,marketing,['bazar payı strategiyası' 'penetrasiya qiymət strategiyası' 'qiymətdən asılı olmayan üstünlüklərə yönələn strategiya' 'ümumi bazarın genişlənməsi strategiyası'],2
