translated_question,subject,translated_choices,answer
"Schnackenberg və Tomlinsonun (2014) fikrincə, korporativ şəffaflığın keyfiyyətini qiymətləndirmək üçün istifadə edilə bilən üç meyar hansılardır?",business_ethics,"Genişlik, Aydınlıq, Dəqiqlik ",2
"Bir korporasiya menecerlərindən, işçilərindən, investorlarından və müştərilərindən ________dir. Buna görə də ________ varisliyi və həmçinin ________ malikdir.",business_ethics,"['Ayrı-seçilməz, Daimi, Öz aktivlərinə sahib deyil'
 'Müstəqil, Məhdud, Öz aktivlərinə sahibdir'
 'Müstəqil, Daimi, Öz aktivlərinə sahibdir'
 'Ayrı-seçilməz, Daimi, Öz aktivlərinə sahibdir']",2
"Böyük Britaniya İctimai Xidmətlər (Sosial Dəyər) Qanunu 2013, satınalanlara daha geniş _____, _____ və _____ faydalarını necə təmin edə biləcəklərini nəzərə almağı tələb edir.",business_ethics,"'Özəl xidmətlər, sosial, iqtisadi və ekoloji'
'İctimai xidmətlər, sosial, mədəni və ekoloji'
'Özəl xidmətlər, mədəni, iqtisadi və ekoloji'
'İctimai xidmətlər, sosial, iqtisadi və ekoloji'",3
Məhsulun həqiqi dəyəri şirkət tərəfindən qəsdən gizlədildikdə buna nə deyilir?,business_ethics,'Yırtıcı qiymət siyasəti' 'Aldadıcı qiymət siyasəti' 'Qiymətlərin sabitləşdirilməsi' 'Kremalama',1
"Donaldson və Preston'a (1995) görə, maraqdaş nəzəriyyəsinin üç fərqli növü hansılardır?",business_ethics,"'Normativ, Təsviri və İqtisadi' 'Normativ, Əxlaqi və Alətçi' 'Siyasi, Təsviri və Alətçi' 'Normativ, Təsviri və Alətçi'",3
"_______ hüququ işçilər üçün uzun müddətdir davam edən etik narahatlıq olmuşdur və bu gün inkişaf etmiş ölkələrin əksəriyyətində şirkətlərin riayət etməli olduğu sıx bir əmək təhlükəsizliyi, sağlamlıq və ətraf mühit tənzimləmələri şəbəkəsi vasitəsilə həll olunur.",business_ethics,'İş-həyat balansı' 'Sağlam və təhlükəsiz iş şəraiti' 'İşçi məxfiliyi' 'Sərbəst nitq',1
Aşağıdakılardan hansı bir biznes təşkilatının əsas məqsədi kimi daha effektiv şəkildə çıxış edə bilər?,business_ethics,'Mənfəət əldə etmək' 'Resursları təmin etmək' 'Səhmdarlarla ünsiyyət qurmaq' 'Təşkilatla mühit arasında vasitəçilik etmək',0
Maariflənmiş öz maraqları modeli nədir?,business_ethics,"[""Bir təşkilatın öz maraqlarını etik qaydalardan üstün tutması""
""Təşkilatın səhmdarın maraqlarını nəzərə almasının onun özü üçün ən yaxşı seçim olması""
""Təşkilatın etik qaydalara uyğun davranmasının onun özü üçün ən yaxşı seçim olması""
""Təşkilatın qanunvericiliyə riayət etməsinin və qanuna əməl etməsinin onun özü üçün ən yaxşı seçim olması""]",2
"________ istehlakçının şirkətlərin onlar haqqında hansı məlumatları toplaya biləcəyini, həmin məlumatların necə saxlanıldığını, istifadə edildiyini və paylaşıldığını nəzarət etmək hüququdur.",business_ethics,İstehlakçıların daxil edilməsi,2
2000-ci illərin sonundakı tənəzzül fonunda ən yaxşı model kimi qəbul edilən Anglo-Amerikan modeli.,business_ethics,"['1,2,3' '1,3,4' '2,3,4' '1,2,3,4']",0
"_______ iqtisadiyyatı, fərdlərin uzunmüddətli əsasda deyil, müəyyən bir vəzifə üçün işə götürülməsini təsvir etmək üçün istifadə olunan termindir. Bu, biznes üçün faydalı olan _________ ilə nəticələnsə də, belə bir şəkildə işləyənlər üçün problemlər arasında artan ________, qeyri-müəyyənlik və _______ çatışmazlığı yer alır.",business_ethics,"'Qiq, Elastiklik, Risk, Sosial rifah strukturları' 'Paylaşma, Risk, Elastiklik, Muxtariyyət' 'Qiq, Risk, Elastiklik, Muxtariyyət' 'Paylaşma, Elastiklik, Risk, Sosial rifah strukturları'",0
_______ Nəzəriyyəsi fərdin etik məsələləri qiymətləndirmək üçün istifadə edə biləcəyi üç səviyyəli mənəvi düşüncə mövcud olduğunu və bunun onların idrak qabiliyyətindən asılı olduğunu irəli sürür.,business_ethics,['Eqoizm' 'Koqnitiv əxlaqi inkişaf' 'Güc məsafəsi' 'Qeyri-müəyyənlikdən yayınma'],1
_______ nəzəriyyəsi bütün rasional varlıqların əməl etməli olduğu davranış qaydası kimi təsvir edilə bilər. Bu isə müəyyən bir qrupun və ya cəmiyyətin qəbul etdiyi ________ əxlaqı ilə ziddiyyət təşkil edir.,business_ethics,"'Təsviri, Normativ' 'Normativ, İnstrumental' 'Normativ, Təsviri' 'Əxlaqi, Təsviri'",2
"___________, ___________ və ___________ hamısı mənəvi intensivliyə təsir göstərə bilən amillərdir.",business_ethics,"['Sosial konsensus, Müvəqqəti təcililik, Yaxınlıq'
 'Yaxınlıq, Sosial dissensus, Təsirin faydasızlığı'
 'Yaxınlıq, Müvəqqəti təcililik, Sosial dissensus'
 'Sosial dissensus, Mədəni təcililik, Yaxınlıq']",0
"Bəzi bazarlara daha yaxşı çıxış, məhsulların fərqləndirilməsi və çirklənməni idarəetmə texnologiyasının satışı, daha yaxşı ətraf mühit göstəricilərinin təmin edə biləcəyi yollar arasındadır:",business_ethics,Gəlirin Artırılması,0
"_______, şirkətin fəaliyyətlərinin cəmiyyət, xüsusilə yerli icmalar və vətəndaş cəmiyyətləri tərəfindən davamlı olaraq təsdiq və qəbul edilməsini təsvir etmək üçün istifadə olunan termindir.",business_ethics,"Maariflənmiş öz marağı, Sosial fəaliyyət icazəsi, İcma tərəfindən təsdiq, Təchizat zəncirinə məsuliyyət",1
"Korporativ qərarların, siyasətlərin, fəaliyyətlərin və təsirlərin müvafiq maraqlı tərəflərə nə dərəcədə tanınması və görünür edilməsi ________ kimi tanınır.",business_ethics,'Korporativ Şəffaflığın Olmaması' 'Korporativ Şəffaflıq' 'Korporativ Açıq-Saçıq' 'Korporativ Görünürlük',1
"_________, məsələn, _______ və _______ təşkilatların ətraf mühit məqsədlərini, siyasətlərini və məsuliyyətlərini həyata keçirdiyi və qanuni tələblərdən daha irəli gedən müntəzəm audit və hesabat vermə proseslərini təmin etdiyi proseslərdir.",business_ethics,"['Ətraf mühitin idarəetmə sistemləri, SA8000, EMAS' 'Sosial məsuliyyət standartları, ISO14001, SA8000' 'Ətraf mühitin idarəetmə sistemləri, ISO14001, EMAS' 'Sosial məsuliyyət standartları, EMAS, SA8000']",2
"Belə adlandırılan BRİK ölkələri (Braziliya, Rusiya, Hindistan və _______) korporativ idarəetmə sahəsində adətən __________ yanaşmasını izləyirlər. Lakin son zamanlar bu, daha çox _______ əsaslı mexanizmlərə doğru meyllənmişdir.",business_ethics,"['Kanada, Bazar, Münasibət' 'Çin, Bazar, Münasibət' 'Kanada, Münasibət, Bazar' 'Çin, Münasibət, Bazar']",3
"Maraqlı tərəf yönümlülüyü aşağıdakı fəaliyyətlərin hamısını əhatə edir, istisna olmaqla:",business_ethics,"['Maraqlı Tərəflər Qrupları Haqqında Məlumat Yaratmaq'
 'Şirkətin Maraqlı Tərəflər Qruplarına Təsirlərini Qiymətləndirmək'
 'Maraqlı Tərəflər Məlumatını Şirkət Boyunca Paylamaq'
 'Maraqlı Tərəflər Məlumatının Şirkətə Təsirini Minimuma Endirmək']",3
"Marketinq kommunikasiyaları ilə bağlı etik məsələlər arasında onların _________ və qaçılmaz olması, ________ ehtiyaclar yaratması, _________ gücləndirməsi və _________ və _______-i davam etdirməsi faktı yer alır.",business_ethics,"['Müdaxiləedici, Süni, İstehlakçılıq, Təhlükəsizliksizlik, Sosial Stereotiplər'
'Müdaxiləedici, Süni, De-materyalizm, Təhlükəsizlik, Xoşbəxtlik'
'Müdaxiləedici, Real, İstehlakçılıq, Təhlükəsizliksizlik, Xoşbəxtlik'
'Müdaxiləedici, Real, De-materyalizm, Təhlükəsizlik, Sosial stereotiplər']",0
"Səhmdarların və şirkətin yuxarı rəhbərliyinin maraqlarını uyğunlaşdırmağa çalışmaq məqsədilə, _________ tez-tez şirkətin _______-lərinə təqdim edilir ki, onların maraqlarında _______ və dividend performansını artırmaq olsun.",business_ethics,"'Səhmdar hüquqları, Baş menecerlər, Səhm qiyməti'
 'Səhmdar hüquqları, Bütün əməkdaşlar, Səhm qiyməti'
 'Qeyri-maliyyə mükafatları, Baş menecerlər, Əməkdaş Məmnuniyyəti'
 'Qeyri-maliyyə mükafatları, Bütün əməkdaşlar, Əməkdaş Məmnuniyyəti'",0
Yırtıcı qiymətqoyma.,business_ethics,"['1,2,4' '1,2,3,4' '1,2' '1,4']",3
"Bir sıra vasitələr mövcuddur ki, onların köməyi ilə _______ təsir etmək mümkündür. Bunlara qərar qəbul edən şəxslərə _________, çox birbaşa formalardan dolayı yolla olan formalara qədər dəyişən, _________, ya ictimai, ya da özəl olan və ________ kommunikasiya üsulları daxildir.",business_ethics,"['Hökumət, Yanaşma prospekti, Ötürülmə genişliyi, Məzmun'
 'İstehlakçılar, Yanaşma prospekti, Ötürülmə hündürlüyü, Məzmun'
 'Hökumət, Ötürülmə genişliyi, Yanaşma prospekti, Məzmun'
 'İşçilər, Ötürülmə genişliyi, Məzmun, Yanaşma prospekti']",0
Aşağıdakı termin üçün doğru təsviri seçin: Utilitarizm…,business_ethics,"Bir hərəkətin ən çox sayda insan üçün ən böyük xeyir gətirdiyi halda əxlaqi cəhətdən yanlış olduğunu iddia edən bir nəzəriyyə
Bir hərəkətin qərar qəbul edən üçün ən böyük xeyir gətirdiyi halda əxlaqi cəhətdən doğru olduğunu iddia edən bir nəzəriyyə
Bir hərəkətin ən az sayda insan üçün ən böyük xeyir gətirdiyi halda əxlaqi cəhətdən doğru olduğunu iddia edən bir nəzəriyyə
Bir hərəkətin ən çox sayda insan üçün ən böyük xeyir gətirdiyi halda əxlaqi cəhətdən doğru olduğunu iddia edən bir nəzəriyyə",3
"Koqnitiv ______ modellər, məsələn, _________ nəzəriyyəsi istehlakçı davranışını izah etməyə çalışır, lakin müəyyən mənada fərdi ________ni bir qədər sadələşdirir və şişirdir.",business_ethics,"['Qərar, Bazar tarazlığı, Rasionallıq'
 'Münasibət, Planlı Davranış, Sosial təzyiqlər'
 'Qərar, Planlı Davranış, Rasionallıq'
 'Münasibət, Bazar tarazlığı, Sosial təzyiqlər']",2
"____________, müştərilərlə uzunmüddətli əlaqələr qurmaq üçün maraqlı tərəflərin qiymətləndirilməsini, təbiəti qorumaq, dəstəkləmək və yaxşılaşdırmaqla yanaşı, strateji bir prosesə aiddir.",business_ethics,'Eko-strategiya' 'Yaşıl Marketinq' 'Superfundun yenidən təsdiqi' 'Təkrar emal və yenidən işlənmə idarəçiliyi',1
Dayanıqlılıq ümumilikdə belə təyin edilə bilər,business_ethics,"['Sistemlərin qısa müddətli saxlanması ekoloji, iqtisadi və sosial amillərə uyğun olaraq'
 'Proseslərin uzunmüddətli saxlanması ekoloji, iqtisadi və mədəni amillərə uyğun olaraq.'
 'Sistemlərin qısa müddətli saxlanması ekoloji, siyasi və sosial amillərə uyğun olaraq.'
 'Sistemlərin uzunmüddətli saxlanması ekoloji, iqtisadi və sosial amillərə uyğun olaraq.']",3
Kiçik bizneslərin aşağıdakı üç təşkilati xüsusiyyətlərindən hansıları onların bizneslə bağlı məsələlərə dair iştirakını xarakterizə etməyə meyillidir?,business_ethics,"Ölçü və mürəkkəblik, sahib və ailə üzvlərinin təşkilata təsiri, səhmdar və maraqlı tərəflərin gücü
Təşkilati resursların çatışmazlığı, ölçü və mürəkkəblik, sahib və ailə üzvlərinin təsiri
Qeyri-rəsmi münasibətlər, sahib və ailə üzvlərinin təşkilata təsiri, təşkilati resursların çatışmazlığı
Bürokratik və rəsmi təşkilati quruluş, təşkilati resursların çatışmazlığı, maraqların toqquşması",2
"__________ __________, __________ çərçivədir ki, bu da müəyyən bir məhsulun və ya malın istehsalına xidmət edən xətti funksiyaları, əməliyyatları və tranzaksiyaları aşır.",business_ethics,"'Beynəlxalq təchizat zənciri, Statik, Ayrılmış'
'Qlobal istehsal şəbəkəsi, Dinamik, Əlaqəli'
'Beynəlxalq təchizat zənciri, Dinamik, Ayrılmış'
'Qlobal istehsal şəbəkəsi, Statik, Əlaqəli'",1
Tələbatın azalması.,business_ethics,"['1,3,4' '2,3,4' '1,2,3' '1,2,4']",3
"Baxmayaraq ki, vətəndaş cəmiyyətinin davamlılığı təşviq etmək, vacib məsələlərdə lobbiçilik etmək və ehtiyacı olanlara kömək etmək sahəsindəki faydası və töhfəsi bir çox yerlərdə mütləq qəbul edilir, digər bir çox ölkələrdə, məsələn, _____ və ______, vətəndaş cəmiyyəti məsələn, _______ ilə müqayisədə daha az inkişaf etmişdir.",business_ethics,"Rusiya, Çin, Britaniya",0
"Fərdin mənəvi qərarvermə ilə əlaqədar nəticələri, həll yollarını və problemləri yaradıcı şəkildə nəzərdən keçirmək bacarığı _________ kimi tanınır.",business_ethics,'Əxlaqi təxəyyül' 'Etik refleksivlik' 'Əxlaqi orijinallıq' 'Əxlaqi refleksivlik',0
"Əgər danışıqlar uzunmüddətli biznes əlaqəsinin bir hissəsidirsə, qeyri-etik təcrübələrdən istifadə edərkən bizneslər _______ riski ilə üzləşə bilərlər, həmçinin _________ və _________ riski də yaranır, çünki danışıqlar şirkət imicinə təsir edə və irəliləyişə mane ola bilər.",business_ethics,"'Sərt danışıqlar, Artan nüfuz, Daha böyük imkanlar'
 'Zədələnmiş münasibətlər, Ləkələnmiş nüfuz, İtirilmiş imkanlar'
 'Sərt danışıqlar, Ləkələnmiş nüfuz, İtirilmiş imkanlar'
 'Zədələnmiş münasibətlər, Sərt danışıqlar, İtirilmiş imkanlar'",1
"________, qərarların, hərəkətlərin və davranışların etik təbiətini gizlətmək və ya ortaya çıxarmaq məqsədilə dilin istifadəsidir.",business_ethics,'Etik bölmə' 'Mənəvi çərçivə' 'Etik pəncərə bəzəyi' 'Mənəvi bölmə',1
Fərdin öz həyatını nə dərəcədə idarə edə biləcəyinə inanması onun __________ ilə müəyyən edilir.,business_ethics,'Mənəvi təxəyyül' 'Şəxsi dürüstlük' 'Koqnitiv mənəvi inkişaf' 'Nəzarət mərkəzi',3
"Şirkət məxfiliyinin təmin edilməsi mürəkkəbdir, çünki korporasiyalar müəyyən mənada __________, onların sərhədlərini müəyyən etmək üçün bir neçə aydın maneə olduğu üçün, iştirak edən şəxslərin çoxluğu və bir çox korporativ fəaliyyətin ________ baş verməsi səbəbindən bunu həyata keçirmək çətindir.",business_ethics,"'Sərhədsiz, Məlumatın idarəsi, Şəxsi məkanlar' 'İctimai məkanlar, Fərdi məxfiliyi qorumaq, Şəxsi məkanlar' 'Sərhədsiz, Məlumatın idarəsi, İctimai məkanlar' 'Şəxsi məkanlar, Fərdi məxfiliyi qorumaq, İctimai məkanlar'",2
"Cəmiyyət üzvləri və onları idarə edənlər arasında ədalətli əsaslarla qarşılıqlı əlaqələri, hüquqları və məsuliyyətləri müəyyən edən ""ehtimal edilən razılaşma""nı təsvir etmək üçün hansı termin istifadə edilə bilər?",business_ethics,'Sosial Müqavilə' 'Vəzifə Etikası' 'Nəticəçilk' 'Fəzilət Etikası',0
"Bizneslər cəmiyyətdə _____ sahibdirlər və cəmiyyətə _____ təmin etmək potensialına malikdirlər, halbuki ____ fərdlərə, icmalara və ətraf mühitə böyük zərər vermək potensialına malikdir.",business_ethics,"'Az güc, Kiçik töhfə, Biznes təcrübəsi'
'Az güc, Böyük töhfə, Korporativ sosial məsuliyyət'
'Böyük güc, Kiçik töhfə, Korporativ sosial məsuliyyət'
'Böyük güc, Böyük töhfə, Biznes təcrübəsi'",3
"Carrolla görə, korporativ sosial məsuliyyət hansı dörd kateqoriya və ya aspektə bölünə bilər?",business_ethics,"['Siyasi, Hüquqi, Etik və Xeyriyyəçilik'
 'İqtisadi, Hüquqi, Etik və Xeyriyyəçilik'
 'İqtisadi, Hüquqi, Mədəni və Xeyriyyəçilik'
 'İqtisadi, Hüquqi, Etik və Ətraf Mühitlə Bağlı']",1
"Müsbət fəaliyyət, bir təşkilatın işçi qüvvəsində ______ olanları hədəfləmək üçün _______ cəhdləri əhatə edir, məsələn, rəhbər vəzifələrdə olan qadınların, əlillərin və ya irqi azlıqların sayını _______ çalışmaqla.",business_ethics,"['Proaktiv, Qruplar, Az təmsil olunan, Artırmaq'
 'Passiv, Qruplar, Az təmsil olunan, Saxlamaq'
 'Proaktiv, Fərdlər, Təmsil olunan, Artırmaq'
 'Passiv, Fərdlər, Təmsil olunan, Saxlamaq']",0
"Ənənəvi olaraq istehlakçı hüquqları _______ və ya _______ anlayışına əsaslanırdı, burada məsuliyyət istehlakçının üzərinə düşürdü ki, keyfiyyətsiz məhsullardan uzaq dursun. Lakin bu, ________, AB və BMT səviyyəsində artan ________ səbəbindən tədricən zəifləyib.",business_ethics,"'Alıcı Məsuliyyəti, Şirkət Məsuliyyəti, Qeyri-rəsmi qaydalar, Beynəlxalq'
 'Alıcı Məsuliyyəti, Alıcı ehtiyatlı olsun, Tənzimləmə, Milli'
 'Cemptor Eaveat, Alıcı ehtiyatlı olsun, Tənzimləmə, Milli'
 'Cemptor Eaveat, Şirkət Məsuliyyəti, Qeyri-rəsmi qaydalar, Beynəlxalq'",1
"Məhsul alışı barədə məlumatlı, əsaslandırılmış qərar qəbul edə bilməmək vəziyyəti necə adlanır?",business_ethics,İstehlakçıların daxil edilməsi,3
"Mitchell və digərlərinə görə (1997) ______, bir maraqlı tərəfin təşkilatın fəaliyyətinə təsir etmək qabiliyyəti ________, təşkilatın maraqlı tərəfin hərəkətlərini arzuolunan, düzgün və uyğun olaraq qəbul etməsi ________ və maraqlı tərəfin tələb etdiyi diqqətin təcilliyi ________, maraqlı tərəfin təsirini müəyyən edir.",business_ethics,"Güc, Legitimlik, Görkəmlilik, Təciliyyət
Legitimlik, Təciliyyət, Görkəmlilik, Güc
Güc, Legitimlik, Təciliyyət, Görkəmlilik
Görkəmlilik, Güc, Təciliyyət, Legitimlik",2
_______ və _______ hər ikisi doğru və yanlışın əsas universal prinsiplərinə əsaslanan _______ əsaslı nəzəriyyələrin nümunələridir.,business_ethics,"['Vəzifə etikası, Hüquqlar və ədalət etikası, Prinsip'
'Utilitarizm, Eqosentrizm, Prinsip'
'Vəzifə etikası, Utilitarizm, Sonuççu'
'Eqosentrizm, Hüquqlar və ədalət etikası, Sonuççu']",0
Nəzəriyyənin mürəkkəbliyi.,business_ethics,"['1,2,3,4' '1,3,4' '1,2,3' '1,2,4']",2
"________, hökumət və ya ictimai siyasətə təsir göstərməyə yönəlmiş hər hansı bir işgüzar səydir. Bu, __________, siyasi reklam, maliyyə töhfələri, ________ tədbirlər və siyasi ________ kimi fəaliyyətləri əhatə edir.",business_ethics,"'Özəl tənzimləmə, Lobbiçilik, Ətraf mühit, Xeyriyyəçilik'
'Özəl tənzimləmə, İstehlakçı marketinqi, Hüquqi, Xeyriyyəçilik'
'Korporativ siyasi fəaliyyət, Lobbiçilik, Hüquqi, Kampaniya'
'Korporativ siyasi fəaliyyət, İstehlakçı marketinqi, Ətraf mühit, Kampaniya'",2
__________ kimi ________ Birləşmiş Ştatlarda etik biznes təcrübələrini irəli aparan əsas amildir.,business_ethics,"['Qanunvericilik, Sarbanes-Oxley Aktı' 
'Daxili şirkət siyasəti, Qeyri-etik korporativ təcrübələr aktı' 
'Daxili şirkət siyasəti, Sarbanes-Oxley Aktı' 
'Qanunvericilik, Qeyri-etik korporativ təcrübələr aktı']",0
"_______, aktorların öz hərəkətlərinin heç kimə zərər vermədiyinə inandıqları _______, aktorların norm pozuntusunun ali dəyərləri həyata keçirmək üçün bir cəhd olduğunu iddia etdikləri və _______, aktorların nəyəsə haqqı olduqlarını iddia etdikləri hallar, qeyri-etik davranışı əsaslandırmaq və ya inkar etmək üçün istifadə olunan strategiyalardır.",business_ethics,"'Daha yüksək sədaqətlərə müraciət, Zərərin inkarı, Hesab dəftəri metaforu'
'Daha yüksək sədaqətlərə müraciət, Hesab dəftəri metaforu, Zərərin inkarı'
'Zərərin inkarı, Daha yüksək sədaqətlərə müraciət, Hesab dəftəri metaforu'
'Zərərin inkarı, Hesab dəftəri metaforu, Daha yüksək sədaqətlərə müraciət'",2
Aşağıdakılardan hansı Korporativ İdarəetmənin Birləşmiş Təcrübə Məcəlləsinin əsas prinsiplərindən biri deyil?,business_ethics,Açıqlıq Dürüstlük Mövcudluq Qəbulolunma,3
Etik qərar qəbul etməyə təsir edən amillər geniş şəkildə fərdin unikal xüsusiyyətləri ilə əlaqəli olan ________ amillər və fərdin ətraf mühiti və ya xüsusi məsələ ilə əlaqəli olan ________ amillər kimi qruplaşdırıla bilər.,business_ethics,"['Fərdi, Uyğunlaşdırılmış' 'Vəziyyətə Uyğun, Fərdi' 'Vəziyyətə Uyğun, Uyğunlaşdırılmış' 'Fərdi, Vəziyyətə Uyğun']",3
"_____ cari və gələcəkdə biznes etikası ilə bağlı, xüsusilə _____, ______ və _____ ilə əlaqəli məsələlərdə əsas aparıcı qüvvədir.",business_ethics,"'Qloballaşma, Mədəni, Hüquqi, Hesabatlılıq'
 'Milli, Mədəni, Ekoloji, Hesabatlılıq'
 'Özəlləşdirmə, Mədəni, Hüquqi, Hesabatlılıq'
 'Qloballaşma, Texnoloji, Maliyyə, Hesabatlılıq'",0
CSO-lar tez-tez performans ölçülərini çatdırmağa və onları benefisiarların rəyi ilə hazırlamağa həddindən artıq vaxt sərf edirlər.,business_ethics,"['2,3' '1,3' '3,4' '1,2,3,4']",1
"Yarış _______ üçün baş verir, əgər artmış ________ nəticəsində ölkələr xarici investisiya cəlb etmək üçün şirkətlərin yerləşdirmə qərarları ilə öz ______ və _____ standartlarını zəiflədirlərsə.",business_ethics,"['Aşağıda, Qloballaşma, Sosial, Ekoloji'
 'Yuxarıda, Qloballaşma, Siyasi, Ekoloji'
 'Aşağıda, Standartlaşma, Sosial, İqtisadi'
 'Yuxarıda, Standartlaşma, Siyasi, İqtisadi']",0
"Menecerlər şirkəti ________ mənafeyinə uyğun idarə etməyə həvalə olunurlar. Xüsusilə, onların həm şirkətin xeyrinə fəaliyyət göstərmək, həm də ________ və _______ borcları vardır.",business_ethics,"['Səhmdarlar, Qayğı və Bacarıq, Səylilik' 'Maraqlı tərəf, Qayğı və Bacarıq, Səylilik' 'Səhmdarlar, Öz marağı, Səylilik' 'Maraqlı tərəflər, Qayğı və bacarıq, Öz marağı']",0
"Təchizat zəncirlərini _______ ilə əvəz etmək, məhsulun _______ əhəmiyyətini, eləcə də bir firmanın _______ istehsal edən hər bir fəaliyyətini əsaslı şəkildə yenidən dizayn etməsini artırır.",business_ethics,"'Təchizat dövrləri, Yenidən əldə etmə, Tullantı' 'Təchizat dövrləri, Yenidən dizayn, Mənfəət' 'Qlobal istehsal şəbəkələri, Yenidən əldə etmə, Tullantı' 'Qlobal istehsal şəbəkələri, Yenidən dizayn, Mənfəət'",0
"Bir şirkət, əgər",business_ethics,['mənfi iş kapitalına malikdir' 'büdcədə nəzərdə tutulmuş mənfəət səviyyəsinə çatmaq iqtidarında deyil' 'zərər edir' 'aktivlərini reallaşdırdıqdan sonra kreditorlara tam ödəniş edə bilmir'],3
"ISO 26000 standartı ________ ilə bağlı ortaq qlobal idarəetmə sahəsində meydana çıxan bir sıra meyllərin rəmzidir. Xüsusilə, bu meyllər daha çox müzakirə və ________, nəticələrdən çox _______ üzərində daha çox diqqət və xüsusi normalardan daha çox _______ ilə bağlıdır.",business_ethics,"['Sosial məsuliyyət, Əməkdaşlıq, Proses, Çərçivələr'
 'Sosial məsuliyyət, Fərdilik, Proses, Qanunvericilik'
 'Ekoloji məsuliyyət, Fərdilik, Girdilər, Çərçivələr'
 'Ekoloji məsuliyyət, Əməkdaşlıq, Girdilər, Qanunvericilik']",0
